引脚号,引脚名,最小系统/常用功能,备注
1,PE2,GPIO,
2,PC13,GPIO/低速信号,
3,PC14-OSC32_IN,LSE输入,不使用LSE时可按数据手册作为GPIO
4,PC15-OSC32_OUT,LSE输出,不使用LSE时可按数据手册作为GPIO
5,PH0-OSC_IN,HSE输入,可预留晶振焊盘
6,PH1-OSC_OUT,HSE输出,可预留晶振焊盘
7,NRST,硬件复位,100nF到GND并接复位按键
8,VREF-,模拟参考负端,接GND
9,VREF+,模拟参考正端,接3V3并就近100nF
10,PA0,GPIO/复用功能,
11,PA1,GPIO/复用功能,
12,PA2,GPIO/USART2_TX等,可作串口下载TX
13,PA3,GPIO/USART2_RX等,可作串口下载RX
14,PA4,GPIO/ADC/DAC/SPI1_NSS等,
15,PA5,GPIO/SPI1_SCK等,
16,PA6,GPIO/SPI1_MISO等,
17,PA7,GPIO/SPI1_MOSI等,
18,PB0,GPIO/SPI3_MISO等,
19,PB1,GPIO/SPI3_SCK等,
20,PB2,GPIO/SPI3_MOSI等,
21,PB10,GPIO/复用功能,
22,VCAP,内部LDO输出,仅接2.2uF到GND且紧贴芯片
23,VSS,数字地,必须接GND
24,VDD,数字电源,接3V3并就近100nF
25,PB12,GPIO/SPI2_NSS等,
26,PB13,GPIO/SPI2_SCK等,
27,PB14,GPIO/SPI2_MISO等,
28,PB15,GPIO/SPI2_MOSI等,
29,PA8,GPIO/复用功能,
30,PA9,GPIO/USART1_TX等,可作串口下载TX
31,PA10,GPIO/USART1_RX等,可作串口下载RX
32,PA11,USB_DM,USB D-
33,PA12,USB_DP,USB D+
34,PA13,SWDIO,建议固定保留
35,VSS,数字地,必须接GND
36,VDD,数字电源,接3V3并就近100nF
37,PA14,SWCLK,建议固定保留
38,PA15,GPIO/JTDI等,
39,PB3,GPIO/SWO/JTDO等,可选留SWO
40,PB4,GPIO/NJTRST等,
41,PB5,FDCAN1_RX等,接外部FDCAN收发器RXD
42,PB6,FDCAN1_TX等,接外部FDCAN收发器TXD
43,PB7,GPIO/复用功能,
44,PH2-BOOT0,BOOT0/FDCAN1_RX等,建议10k下拉并用按键拉到3V3
45,PB8,GPIO/SPI3_NSS等,
46,PB9,GPIO/复用功能,
47,VSS,数字地,必须接GND
48,VDD,数字电源,接3V3并就近100nF
