脚号,引脚名,网络,中心X(mm),中心Y(mm),焊盘X(mm),焊盘Y(mm)
1,PE2,unconnected-(U401-PE2-Pad1),-4.25,-2.75,1.2,0.3
2,PC13,USER_KEY,-4.25,-2.25,1.2,0.3
3,PC14-OSC32_IN,unconnected-(U401-PC14-OSC32_IN-Pad3),-4.25,-1.75,1.2,0.3
4,PC15-OSC32_OUT,unconnected-(U401-PC15-OSC32_OUT-Pad4),-4.25,-1.25,1.2,0.3
5,PH0-OSC_IN,/STM32C562 最小系统/HSE_IN,-4.25,-0.75,1.2,0.3
6,PH1-OSC_OUT,/STM32C562 最小系统/HSE_OUT,-4.25,-0.25,1.2,0.3
7,NRST,MCU_NRST,-4.25,0.25,1.2,0.3
8,VREF-,GND,-4.25,0.75,1.2,0.3
9,VREF+,+3V3,-4.25,1.25,1.2,0.3
10,PA0,NTC_ADC,-4.25,1.75,1.2,0.3
11,PA1,FLOW_PULSE,-4.25,2.25,1.2,0.3
12,PA2,unconnected-(U401-PA2-Pad12),-4.25,2.75,1.2,0.3
13,PA3,unconnected-(U401-PA3-Pad13),-2.75,4.25,0.3,1.2
14,PA4,unconnected-(U401-PA4-Pad14),-2.25,4.25,0.3,1.2
15,PA5,unconnected-(U401-PA5-Pad15),-1.75,4.25,0.3,1.2
16,PA6,unconnected-(U401-PA6-Pad16),-1.25,4.25,0.3,1.2
17,PA7,unconnected-(U401-PA7-Pad17),-0.75,4.25,0.3,1.2
18,PB0,unconnected-(U401-PB0-Pad18),-0.25,4.25,0.3,1.2
19,PB1,unconnected-(U401-PB1-Pad19),0.25,4.25,0.3,1.2
20,PB2,unconnected-(U401-PB2-Pad20),0.75,4.25,0.3,1.2
21,PB10,unconnected-(U401-PB10-Pad21),1.25,4.25,0.3,1.2
22,VCAP,/STM32C562 最小系统/MCU_VCAP,1.75,4.25,0.3,1.2
23,VSS,GND,2.25,4.25,0.3,1.2
24,VDD,+3V3,2.75,4.25,0.3,1.2
25,PB12,unconnected-(U401-PB12-Pad25),4.25,2.75,1.2,0.3
26,PB13,unconnected-(U401-PB13-Pad26),4.25,2.25,1.2,0.3
27,PB14,unconnected-(U401-PB14-Pad27),4.25,1.75,1.2,0.3
28,PB15,unconnected-(U401-PB15-Pad28),4.25,1.25,1.2,0.3
29,PA8,unconnected-(U401-PA8-Pad29),4.25,0.75,1.2,0.3
30,PA9,unconnected-(U401-PA9-Pad30),4.25,0.25,1.2,0.3
31,PA10,unconnected-(U401-PA10-Pad31),4.25,-0.25,1.2,0.3
32,PA11,USB_DM,4.25,-0.75,1.2,0.3
33,PA12,USB_DP,4.25,-1.25,1.2,0.3
34,PA13,SWDIO,4.25,-1.75,1.2,0.3
35,VSS,GND,4.25,-2.25,1.2,0.3
36,VDD,+3V3,4.25,-2.75,1.2,0.3
37,PA14,SWCLK,2.75,-4.25,0.3,1.2
38,PA15,unconnected-(U401-PA15-Pad38),2.25,-4.25,0.3,1.2
39,PB3,unconnected-(U401-PB3-Pad39),1.75,-4.25,0.3,1.2
40,PB4,unconnected-(U401-PB4-Pad40),1.25,-4.25,0.3,1.2
41,PB5,unconnected-(U401-PB5-Pad41),0.75,-4.25,0.3,1.2
42,PB6,I2C_SCL,0.25,-4.25,0.3,1.2
43,PB7,I2C_SDA,-0.25,-4.25,0.3,1.2
44,PH2-BOOT0,MCU_BOOT0,-0.75,-4.25,0.3,1.2
45,PB8,unconnected-(U401-PB8-Pad45),-1.25,-4.25,0.3,1.2
46,PB9,unconnected-(U401-PB9-Pad46),-1.75,-4.25,0.3,1.2
47,VSS,GND,-2.25,-4.25,0.3,1.2
48,VDD,+3V3,-2.75,-4.25,0.3,1.2
